keys,zh_Hans
dialogue.salut_neutre,日安，旅人。
dialogue.meteo,看这天色，怕是要放晴。
dialogue.occupe,我可没空闲聊。
dialogue.matin,起得挺早啊。
dialogue.soir,天快黑了，早点回去吧。
dialogue.nuit,这个时辰你在外面做什么？
dialogue.hostile_1,是你！离我远点。
dialogue.hostile_2,你干过什么，我们都清楚。
dialogue.mefiant_1,我盯着你呢。
dialogue.mefiant_2,走你的路吧。
dialogue.amical_1,又见到你了，真好！
dialogue.amical_2,这里随时欢迎你。
dialogue.devoue_1,有任何需要，尽管开口。
dialogue.devoue_2,这一带的人都说你好话。
dialogue.forgeron_1,炉火从不会完全熄灭。
dialogue.forgeron_2,带好矿石来，我们再谈。
dialogue.garde_1,无事可报。这样最好。
dialogue.garde_2,在城里请收好武器。
dialogue.fermier_1,你怎么对土地，土地就怎么回报你。
dialogue.fermier_2,再来一个这样的季节，我就能歇口气了。
dialogue.vendeur_1,来看看我的货吧。
dialogue.vendeur_2,什么都能谈价。几乎什么都能。
dialogue.cuisinier_1,正炖着呢，晚点再来。
dialogue.mineur_1,这一带的岩石很硬。
dialogue.bucheron_1,生木一文不值，记住了。
dialogue.eleveur_1,牲口都长得不错。
dialogue.herboriste_1,每种草药都有用处。也都有时节。
dialogue.couturier_1,好布料抵得上一副好甲。
dialogue.transporteur_1,道路不像从前那么太平了。
ui.dialogue.parler,交谈
ui.dialogue.offrir,赠送礼物
ui.dialogue.commercer,交易
ui.dialogue.quetes,任务
ui.dialogue.recruter,招募
ui.dialogue.fermer,告辞
ui.dialogue.metier,{metier}
ui.dialogue.relation,关系：{palier}
ui.dialogue.deja_parle,今天已经交谈过了
ui.dialogue.rien_a_offrir,没有可赠送的东西
ui.dialogue.pas_marchand,不是商人
ui.dialogue.pas_de_quetes,没有可提供的事项
ui.dialogue.pas_recrutable,不会跟随你
ui.dialogue.cadeau_accepte,{nom} 收下了你的礼物。
ui.dialogue.interagir,E：交谈
relation.hostile,敌对
relation.mefiant,戒备
relation.neutre,中立
relation.amical,友好
relation.devoue,忠诚
job.garde,卫兵
job.fermier,农夫
job.forgeron,铁匠
job.vendeur,商人
job.cuisinier,厨师
job.mineur,矿工
job.bucheron,樵夫
job.eleveur,牧人
job.couturier,裁缝
job.herboriste,草药师
job.transporteur,脚夫
ui.toast.villageois_tue,一名村民死亡。
ui.toast.coffre_boss,首领掉落了一个宝箱！
gouvernance.monarchie_hereditaire,世袭君主制
gouvernance.republique_elue,选举共和制
gouvernance.theocratie,神权政治
gouvernance.ploutocratie,财阀政治
gouvernance.dictature_militaire,军事独裁
gouvernance.anarchie,无政府
taille_royaume.hameau_etat,村落国
taille_royaume.cite_etat,城邦
taille_royaume.petit_royaume,小王国
taille_royaume.grand_royaume,大王国
ui.hud.cle.royaume,王国
ui.hud.terres_sauvages,蛮荒之地（无法可依）
ui.loi.amende,被处以罚款：当地法律禁止此举。
ui.loi.confiscation,物品被没收：在此地属于违禁品。
ui.loi.saisie,无力支付，你的一件财物被没收。
ui.loi.gardes_hostiles,王国卫兵正在追捕你。
ui.hud.cle.lois,法律
ui.hud.cle.localite,聚落
ui.hud.souris,左键（长按）：采集/挖掘/攻击 · 右键：放置
ui.hud.hotbar,1-9/滚轮：选择 · Ctrl+1-9/滚轮：存入
ui.input.move_forward,前进
ui.input.jump,跳跃
ui.input.toggle_fly,飞行/行走
ui.input.sprint,冲刺
ui.input.sneak,潜行
ui.input.move_back,后退
ui.input.move_left,向左平移
ui.input.move_right,向右平移
ui.input.descend,下降
ui.input.cycle_grid,网格 32/16/8/4
ui.input.equip,装备
ui.input.sleep,睡觉
ui.input.toggle_claim,占领
ui.input.cycle_claim_role,地块用途
ui.input.stall_stock,上架（瞄准的摊位）
ui.input.module_1,模块
ui.input.module_2,模块 2
ui.input.module_3,模块 3
ui.input.inventory,物品栏
ui.input.world_map,地图
ui.input.map_legend,地图图层
ui.input.debug_hud,帮助与诊断
ui.input.cheat_menu,作弊菜单
ui.input.reload_data,重载数据
ui.input.save_game,保存
ui.loi.aucune,无（无政府）
ui.loi.interdit,禁止 {objet}
ui.erreur.save_illisible,存档无法读取或已损坏。
ui.erreur.save_trop_recente,该存档由更新版本的游戏创建。
ui.erreur.save_trop_ancienne,存档过旧：此版本已无法读取。
ui.erreur.chunks_perdus,部分已改动的区域无法读回。
loi.meurtre,谋杀受罚
loi.vol,盗窃受罚
loi.agression,袭击受罚
ui.menu.onglet.combat,战斗
ui.menu.combat_aide,将武器或盾牌拖到手上。架势由你的装备自动决定。
ui.menu.posture_competence,锻炼技能：{competence}
ui.posture.mains_nues,徒手
ui.posture.une_main,单手武器
ui.posture.deux_mains,双手武器
ui.posture.arme_bouclier,武器与盾牌
ui.posture.deux_armes,双持
ui.combat.fiche,攻击距离 {allonge} 米 · {des} · 速度 {vitesse} · 招架 {parade} 毫秒 · 耐力 {endurance} · {mains} 手
ui.combat.bouclier_ligne,盾牌：覆盖 {couverture} · 吸收 {absorption} %
ui.toast.deux_mains_occupe,双手武器已占用双手。
ui.combat.pare_par_adversaire,被格挡 — 它读出了你的方向。
ui.combat.garde_ecrasee,招架被砸开 — 这一击穿透而过。
ui.combat.bouclier_brise,你的盾牌碎裂了！
ui.combat.bouclier_structure,盾牌：{reste} / {total}
ui.combat.attaques,攻击：{directions}
ui.direction.estoc,突刺
ui.direction.taille_gauche,左横斩
ui.direction.taille_droite,右横斩
ui.direction.overhead,上劈
ui.combat.feinte_adverse,佯攻 — 预告的那一击没有落下。
munition.fleche.name,箭
munition.carreau.name,弩矢
ui.combat.carquois_vide,箭矢用尽。
material.andesite_taillee.name,切制安山岩
transformation.taille_andesite_taillee.name,切制：安山岩
material.ardoise_taillee.name,切制板岩
transformation.taille_ardoise_taillee.name,切制：板岩
material.basalte_taillee.name,切制玄武岩
transformation.taille_basalte_taillee.name,切制：玄武岩
material.breche_volcanique_taillee.name,切制火山角砾岩
transformation.taille_breche_volcanique_taillee.name,切制：火山角砾岩
material.calcaire_taillee.name,切制石灰岩
transformation.taille_calcaire_taillee.name,切制：石灰岩
material.calcite_taillee.name,切制方解石
transformation.taille_calcite_taillee.name,切制：方解石
material.conglomerat_taillee.name,切制砾岩
transformation.taille_conglomerat_taillee.name,切制：砾岩
material.craie_taillee.name,切制白垩
transformation.taille_craie_taillee.name,切制：白垩
material.diorite_taillee.name,切制闪长岩
transformation.taille_diorite_taillee.name,切制：闪长岩
material.dolomie_taillee.name,切制白云岩
transformation.taille_dolomie_taillee.name,切制：白云岩
material.gneiss_taillee.name,切制片麻岩
transformation.taille_gneiss_taillee.name,切制：片麻岩
material.granit_taillee.name,切制花岗岩
transformation.taille_granit_taillee.name,切制：花岗岩
material.granit_noir_taillee.name,切制黑花岗岩
transformation.taille_granit_noir_taillee.name,切制：黑花岗岩
material.gres_taillee.name,切制砂岩
transformation.taille_gres_taillee.name,切制：砂岩
material.gypse_taillee.name,切制石膏
transformation.taille_gypse_taillee.name,切制：石膏
material.kimberlite_taillee.name,切制金伯利岩
transformation.taille_kimberlite_taillee.name,切制：金伯利岩
material.marbre_taillee.name,切制大理石
transformation.taille_marbre_taillee.name,切制：大理石
material.obsidienne_taillee.name,切制黑曜石
transformation.taille_obsidienne_taillee.name,切制：黑曜石
material.peridotite_taillee.name,切制橄榄岩
transformation.taille_peridotite_taillee.name,切制：橄榄岩
transformation.taille_pierre_taillee.name,切制：石头
material.pierre_ponce_taillee.name,切制浮石
transformation.taille_pierre_ponce_taillee.name,切制：浮石
material.quartzite_taillee.name,切制石英岩
transformation.taille_quartzite_taillee.name,切制：石英岩
material.rhyolite_taillee.name,切制流纹岩
transformation.taille_rhyolite_taillee.name,切制：流纹岩
material.schiste_taillee.name,切制页岩
transformation.taille_schiste_taillee.name,切制：页岩
material.serpentinite_taillee.name,切制蛇纹岩
transformation.taille_serpentinite_taillee.name,切制：蛇纹岩
material.silex_taillee.name,切制燧石
transformation.taille_silex_taillee.name,切制：燧石
material.travertin_taillee.name,切制石灰华
transformation.taille_travertin_taillee.name,切制：石灰华
material.tuf_volcanique_taillee.name,切制凝灰岩
transformation.taille_tuf_volcanique_taillee.name,切制：凝灰岩
item.grimoire.name,魔法书
item.manuel_de_combat.name,战斗手册
lecture.echec.etourdissement,眩晕
lecture.echec.perte_mana,法力流失
lecture.echec.confusion,混乱
lecture.echec.invocation,敌人召唤
module.boule_de_feu.name,火球术
module.nappe_de_flammes.name,烈焰地毯
module.eclat_de_glace.name,冰棱
module.emprise_du_gel.name,寒霜禁锢
module.arc_electrique.name,电弧
module.fulguration.name,落雷术
module.eclat_de_pierre.name,石弹
module.carapace_de_roche.name,岩石甲壳
module.regeneration.name,回复术
module.bouclier_arcane.name,奥术护盾
module.clignotement.name,闪现
module.rappel.name,回溯
module.drain_vital.name,生命汲取
module.offrande_de_sang.name,血之献祭
module.taillade_large.name,横扫
module.estoc_perforant.name,穿刺突击
module.garde_de_fer.name,铁壁架势
module.posture_agile.name,轻捷架势
module.charge_epaule.name,冲撞
module.contre_riposte.name,反击
module.double_lancer.name,双重施放
module.triple_lancer.name,三重施放
module.portee_accrue.name,射程延展
module.projection_rapide.name,疾射
module.guidage.name,追踪
module.ricochet.name,弹射
module.declencheur_impact.name,撞击触发
module.declencheur_retarde.name,延时触发
ui.module.vide,（空）
ui.module.declenche.impact,撞击时
ui.module.declenche.delai,延时后
ui.module.declenche.parade,招架时
ui.menu.assemblage,技能组装
ui.menu.assemblage_aide,从左到右排列模块：顺序决定施放结果。修饰符影响其后的效果；触发器让其后全部内容在撞击时释放。
ui.menu.assemblage_slot,技能 {n}
ui.menu.assemblage_cout,{cout} 法力
ui.menu.assemblage_sans_arme,装备武器后即可组装其技能。
ui.menu.assemblage_aucun_module,尚未习得模块。请阅读魔法书或战斗手册。
status.brulure.name,灼烧
status.ralentissement.name,迟缓
status.gel.name,冰冻
status.poison.name,中毒
status.saignement.name,流血
status.etourdi.name,眩晕
status.confusion.name,混乱
status.terreur.name,恐惧
status.infection.name,感染
status.affaibli.name,虚弱
status.regeneration.name,回复
status.peau_de_pierre.name,石肤
status.hate.name,急速
status.beni.name,祝福
ui.input.interact,交互
ui.toast.station_ouverte,{station} — 已打开制作
ui.toast.etal_vide,没有可收取的
ui.toast.lecture_reussie,阅读成功：习得 {modules} 个模块
ui.toast.lecture_echouee,阅读失败 — 书已损毁
material.coffre.name,箱子
material.grand_coffre.name,大箱子
transformation.fab_coffre.name,制作箱子
transformation.fab_grand_coffre.name,制作大箱子
ui.coffre.titre,{coffre} — {utilise}/{capacite}
ui.coffre.vide,空箱子
ui.toast.coffre_pris,已清空箱子：{objets} 件物品，{or_} 金币
ui.toast.coffre_plein,箱子已满
ui.menu.assemblage_armes,武器技巧
ui.menu.assemblage_sorts,法术
ui.menu.assemblage_niveau,{competence} — 等级 {niveau}
ui.menu.assemblage_reserve_vide,尚未习得此类模块。
ui.module.role.effet,效果
ui.module.role.modificateur,修饰符
ui.module.role.declencheur,触发器
module.enchainement_double.name,双连击
module.enchainement_triple.name,三连击
module.allonge_accrue.name,延展距离
module.frappe_vive.name,疾击
ui.coffre.inventaire,物品栏
ui.coffre.contenu,箱子
ui.coffre.tout_deposer,全部存入
ui.coffre.tout_prendre,全部取出
ui.coffre.fermer,关闭
ui.coffre.or,{or_} 金币
ui.coffre.aide,点击条目即可移动。按 Esc 或 E 关闭。
item.foreuse.name,钻机
functionality.foreuse.name,钻机
item.foreuse_plus.name,钻机 Plus
functionality.foreuse_plus.name,钻机 Plus
item.foreuse_pro.name,钻机 Pro
functionality.foreuse_pro.name,钻机 Pro
item.foreuse_max.name,钻机 Max
functionality.foreuse_max.name,钻机 Max
material.pousse.name,树苗
ui.toast.pousse_grandie,树苗长成了大树。
dimension.donjon.name,地牢
dimension.faille_de_mana.name,魔力裂隙
season.printemps.name,春季
season.ete.name,夏季
season.automne.name,秋季
season.hiver.name,冬季
tree.paletuvier.name,红树
tree.arbre_mort.name,枯树
tree.pin_parasol.name,伞松
tree.fromager.name,木棉
tree.genevrier.name,刺柏
material.bois_paletuvier.name,红树木
material.feuilles_paletuvier.name,红树叶
material.bois_mort.name,枯木
material.bois_pin_parasol.name,伞松木
material.feuilles_pin_parasol.name,伞松针
material.bois_fromager.name,木棉木
material.feuilles_fromager.name,木棉叶
material.bois_genevrier.name,刺柏木
material.feuilles_genevrier.name,刺柏叶
tree.pin_montagne.name,高山松
tree.saxaoul.name,梭梭
tree.tamaris.name,柽柳
material.bois_pin_montagne.name,高山松木
material.feuilles_pin_montagne.name,高山松针
material.bois_saxaoul.name,梭梭木
material.feuilles_saxaoul.name,梭梭叶
material.bois_tamaris.name,柽柳木
material.feuilles_tamaris.name,柽柳叶
tree.arbre_torsade.name,扭曲之树
tree.arbre_geant_songe.name,梦境巨树
tree.champignon_songe.name,梦境蘑菇
tree.arbre_lanterne.name,灯笼树
material.herbe_azuree.name,蔚蓝草
material.herbe_amethyste.name,紫晶草
material.herbe_dragee.name,糖霜草
material.herbe_menthe.name,薄荷草
material.terre_songe.name,梦境土壤
material.roche_songe.name,梦境岩
material.roche_nacree.name,珍珠岩
material.quartz_rose.name,粉水晶
material.cristal_azur.name,蔚蓝水晶
material.bois_torsade.name,扭曲木
material.bois_perle.name,珍珠木
material.bois_geant.name,巨树木
material.feuillage_coton.name,棉絮叶
material.feuillage_lueur.name,荧光叶
material.feuillage_azur.name,蔚蓝叶
material.chapeau_songe.name,梦境菌盖
biome.prairie_azuree.name,蔚蓝草原
biome.collines_dragee.name,糖霜丘陵
biome.bois_colosses.name,巨树林
biome.plateaux_suspendus.name,悬浮台地
biome.cimes_tordues.name,扭曲峰峦
biome.mer_de_nuages.name,云海
biome.foret_de_verre.name,琉璃森林
biome.dunes_irisees.name,虹彩沙丘
biome.champs_solaires.name,日耀原野
biome.recif_corallien.name,珊瑚礁
biome.cathedrale_cristal.name,水晶大教堂
tree.arbre_de_verre.name,琉璃树
tree.arbre_nuage.name,云树
tree.tournesol_geant.name,巨型向日葵
material.nuage_compact.name,凝云
material.brume_solide.name,凝雾
material.verre_songe.name,梦境琉璃
material.sable_irise.name,虹彩沙
material.nacre_dune.name,沙丘珍珠
material.mousse_lumineuse.name,荧光苔
material.pierre_lueur.name,微光石
material.cristal_solaire.name,日耀水晶
material.herbe_safran.name,藏红草
material.roche_ambre.name,琥珀岩
material.herbe_corail.name,珊瑚草
material.roche_corail.name,珊瑚岩
material.bois_de_verre.name,琉璃木
material.feuillage_prisme.name,棱镜叶
material.bois_nuage.name,云木
material.feuillage_plume.name,绒羽叶
material.bois_solaire.name,日耀木
material.feuillage_solaire.name,日耀花冠
biome.landes_lavande.name,Landes de lavande
biome.lagon_turquoise.name,Lagon turquoise
biome.plaine_cendree.name,Plaine cendrée
biome.velours_pourpre.name,Velours pourpre
biome.toundra_givree.name,Toundra givrée
biome.terrasses_ambre.name,Terrasses d'ambre
biome.marbrerie.name,Marbrerie
tree.arbre_neige.name,Arbre de neige
tree.arbre_velours.name,Arbre de velours
tree.arbre_creux.name,Arbre creux
tree.champignon_paroi_geant.name,Champignon de paroi
material.herbe_lavande.name,Herbe lavande
material.herbe_turquoise.name,Herbe turquoise
material.cendre_etoilee.name,Cendre étoilée
material.sol_velours.name,Sol de velours
material.givre_songe.name,Givre des songes
material.basalte_lunaire.name,Basalte lunaire
material.marbre_iris.name,Marbre iris
material.obsidienne_claire.name,Obsidienne claire
material.gres_stellaire.name,Grès stellaire
material.roche_bulle.name,Roche bulle
material.mithril_songe.name,Mithril des songes
material.orichalque.name,Orichalque
material.larme_de_lune.name,Larme de lune
material.coeur_prisme.name,Cœur prisme
material.veine_aurore.name,Veine d'aurore
material.stalactite_lueur.name,Stalactite de lueur
material.champignon_paroi.name,Champignon de paroi
material.bois_spirale.name,Bois spiralé
material.feuillage_neige.name,Feuillage de neige
material.bois_velours.name,Bois de velours
material.feuillage_vin.name,Feuillage lie-de-vin
material.bois_creux.name,Bois creux
material.feuillage_ambre.name,Feuillage ambré
